site_id,family,locale,file_path,en_path,issue_type,backlog_reason
blog.aspose.org,3d,hr,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.hr.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,hu,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.hu.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,id,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.id.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,it,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.it.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,ja,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.ja.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,ko,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.ko.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,lt,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.lt.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,lv,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.lv.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,ms,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.ms.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,nl,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.nl.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,no,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.no.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,pl,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.pl.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,pt,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.pt.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,ro,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.ro.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,ru,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.ru.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
blog.aspose.org,3d,sk,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.sk.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\typescript\introducing-aspose-3d-foss-for-typescript\index.md,link_path_corrupted,"no exact reverse-match for: ['/kb/3d/typescript/how-to-export-gltf-in-typescript/', '/kb/3d/typescript/how-to-load-3d-models-in-typescript/']"
