site_id,family,locale,file_path,en_path,issue_type,backlog_reason
reference.aspose.org,3d,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\3d\python\Material.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\Material.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.00
reference.aspose.org,3d,zh,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\zh\3d\python\Material.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\Material.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.00
reference.aspose.org,3d,es,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\es\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,fa,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\fa\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,he,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\he\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hi\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,hr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hr\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,hu,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\hu\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,id,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\id\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
reference.aspose.org,3d,it,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\it\3d\python\PolygonModifier.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\3d\python\PolygonModifier.md,newline_explosion,root cause 2 (stale content): apis_overlap: overlap=0.17
