site_id,family,locale,file_path,en_path,issue_type,detail,priority
blog.aspose.org,3d,ar,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.ar.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,bg,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.bg.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,ca,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.ca.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,cs,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.cs.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,da,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.da.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,de,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.de.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,el,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.el.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,es,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.es.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,fa,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.fa.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,fi,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.fi.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,fr,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.fr.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,he,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.he.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
blog.aspose.org,3d,hi,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.hi.md,D:\onedrive\Documents\GitHub\aspose.org\content\blog.aspose.org\3d\java\convert-obj-stl-gltf-java\index.md,code_fence_dropped,"src=36 fences, tgt=30 fences",3
