site_id,family,locale,issue_type,count
docs.aspose.org,cells,bg,link_path_corrupted,7
docs.aspose.org,cells,el,link_path_corrupted,7
docs.aspose.org,cells,es,link_path_corrupted,7
docs.aspose.org,cells,he,link_path_corrupted,7
docs.aspose.org,cells,hi,link_path_corrupted,7
docs.aspose.org,cells,hu,link_path_corrupted,7
docs.aspose.org,cells,id,link_path_corrupted,7
docs.aspose.org,cells,pt,link_path_corrupted,7
docs.aspose.org,cells,ro,link_path_corrupted,7
docs.aspose.org,cells,ru,link_path_corrupted,7
docs.aspose.org,cells,sv,link_path_corrupted,7
docs.aspose.org,cells,th,link_path_corrupted,7
docs.aspose.org,cells,tr,link_path_corrupted,7
docs.aspose.org,cells,uk,link_path_corrupted,7
docs.aspose.org,cells,zh,link_path_corrupted,7
docs.aspose.org,email,ca,link_path_corrupted,7
docs.aspose.org,email,da,link_path_corrupted,7
docs.aspose.org,email,ja,link_path_corrupted,7
docs.aspose.org,email,ko,link_path_corrupted,7
docs.aspose.org,pdf,fi,link_path_corrupted,7
docs.aspose.org,pdf,fr,link_path_corrupted,7
reference.aspose.org,3d,fr,link_path_corrupted,7
reference.aspose.org,3d,he,newline_explosion,7
reference.aspose.org,3d,hi,newline_explosion,7
reference.aspose.org,3d,hr,newline_explosion,7
reference.aspose.org,3d,ko,newline_explosion,7
reference.aspose.org,3d,th,newline_explosion,7
reference.aspose.org,3d,uk,newline_explosion,7
reference.aspose.org,3d,zh,link_path_corrupted,7
reference.aspose.org,3d,zh,newline_explosion,7
reference.aspose.org,cells,hi,table_desc_not_translated,7
reference.aspose.org,cells,vi,table_desc_not_translated,7
docs.aspose.org,3d,cs,link_path_corrupted,6
docs.aspose.org,3d,da,link_path_corrupted,6
docs.aspose.org,3d,fi,link_path_corrupted,6
docs.aspose.org,3d,ja,link_path_corrupted,6
docs.aspose.org,3d,ko,link_path_corrupted,6
docs.aspose.org,3d,lt,link_path_corrupted,6
docs.aspose.org,3d,lv,link_path_corrupted,6
docs.aspose.org,3d,ms,link_path_corrupted,6
docs.aspose.org,3d,nl,link_path_corrupted,6
docs.aspose.org,3d,no,link_path_corrupted,6
docs.aspose.org,3d,pl,link_path_corrupted,6
docs.aspose.org,3d,ro,link_path_corrupted,6
docs.aspose.org,3d,sk,link_path_corrupted,6
docs.aspose.org,3d,sr,link_path_corrupted,6
docs.aspose.org,cells,ca,link_path_corrupted,6
docs.aspose.org,cells,cs,link_path_corrupted,6
docs.aspose.org,cells,fa,link_path_corrupted,6
docs.aspose.org,cells,vi,link_path_corrupted,6
docs.aspose.org,email,fi,link_path_corrupted,6
docs.aspose.org,email,lt,link_path_corrupted,6
docs.aspose.org,email,lv,link_path_corrupted,6
docs.aspose.org,email,ms,link_path_corrupted,6
docs.aspose.org,email,nl,link_path_corrupted,6
docs.aspose.org,email,no,link_path_corrupted,6
docs.aspose.org,email,pl,link_path_corrupted,6
docs.aspose.org,email,sr,link_path_corrupted,6
docs.aspose.org,pdf,id,link_path_corrupted,6
kb.aspose.org,3d,ko,double_period,6
reference.aspose.org,3d,ru,newline_explosion,6
reference.aspose.org,pdf,lt,double_period,6
reference.aspose.org,pdf,th,partial_script_contamination_gate31,6
reference.aspose.org,slides,vi,table_desc_not_translated,6
websites.aspose.org,aspose,ar,title_mismatch,6
websites.aspose.org,aspose,cs,title_mismatch,6
websites.aspose.org,aspose,da,title_mismatch,6
websites.aspose.org,aspose,el,title_mismatch,6
websites.aspose.org,aspose,fa,title_mismatch,6
websites.aspose.org,aspose,fi,title_mismatch,6
websites.aspose.org,aspose,he,title_mismatch,6
websites.aspose.org,aspose,hr,title_mismatch,6
websites.aspose.org,aspose,hu,title_mismatch,6
websites.aspose.org,aspose,ja,title_mismatch,6
websites.aspose.org,aspose,ko,title_mismatch,6
websites.aspose.org,aspose,lt,title_mismatch,6
websites.aspose.org,aspose,lv,title_mismatch,6
websites.aspose.org,aspose,ms,title_mismatch,6
websites.aspose.org,aspose,nl,title_mismatch,6
websites.aspose.org,aspose,no,title_mismatch,6
websites.aspose.org,aspose,pl,title_mismatch,6
websites.aspose.org,aspose,ro,title_mismatch,6
websites.aspose.org,aspose,sv,title_mismatch,6
websites.aspose.org,aspose,tr,title_mismatch,6
websites.aspose.org,aspose,zh,title_mismatch,6
docs.aspose.org,3d,ca,link_path_corrupted,5
docs.aspose.org,3d,de,link_path_corrupted,5
docs.aspose.org,barcode,sv,link_path_corrupted,5
docs.aspose.org,barcode,tr,link_path_corrupted,5
docs.aspose.org,barcode,vi,link_path_corrupted,5
docs.aspose.org,cells,da,link_path_corrupted,5
docs.aspose.org,cells,hr,link_path_corrupted,5
docs.aspose.org,cells,it,link_path_corrupted,5
docs.aspose.org,cells,sk,link_path_corrupted,5
docs.aspose.org,email,de,double_period,5
docs.aspose.org,pdf,ko,link_path_corrupted,5
docs.aspose.org,words,ar,link_path_corrupted,5
docs.aspose.org,words,ca,link_path_corrupted,5
docs.aspose.org,words,cs,link_path_corrupted,5
docs.aspose.org,words,da,link_path_corrupted,5
docs.aspose.org,words,he,link_path_corrupted,5
docs.aspose.org,words,hr,link_path_corrupted,5
docs.aspose.org,words,pt,link_path_corrupted,5
reference.aspose.org,3d,fa,link_path_corrupted,5
reference.aspose.org,cells,el,table_desc_not_translated,5
reference.aspose.org,cells,es,newline_explosion,5
reference.aspose.org,cells,fa,newline_explosion,5
reference.aspose.org,cells,fi,newline_explosion,5
reference.aspose.org,cells,fr,newline_explosion,5
reference.aspose.org,cells,he,newline_explosion,5
reference.aspose.org,cells,hi,newline_explosion,5
reference.aspose.org,cells,hr,newline_explosion,5
reference.aspose.org,cells,hu,newline_explosion,5
reference.aspose.org,cells,id,newline_explosion,5
reference.aspose.org,cells,it,newline_explosion,5
reference.aspose.org,cells,lt,newline_explosion,5
reference.aspose.org,cells,lv,newline_explosion,5
reference.aspose.org,cells,ms,newline_explosion,5
reference.aspose.org,cells,nl,newline_explosion,5
reference.aspose.org,cells,no,newline_explosion,5
reference.aspose.org,cells,pl,newline_explosion,5
reference.aspose.org,cells,pt,newline_explosion,5
reference.aspose.org,cells,ro,newline_explosion,5
reference.aspose.org,cells,ru,newline_explosion,5
reference.aspose.org,cells,sk,newline_explosion,5
reference.aspose.org,cells,sv,newline_explosion,5
reference.aspose.org,cells,th,newline_explosion,5
reference.aspose.org,cells,th,table_desc_not_translated,5
reference.aspose.org,cells,tr,newline_explosion,5
reference.aspose.org,cells,uk,newline_explosion,5
reference.aspose.org,cells,uk,table_desc_not_translated,5
reference.aspose.org,cells,vi,newline_explosion,5
reference.aspose.org,pdf,el,partial_script_contamination_gate31,5
reference.aspose.org,slides,hi,table_desc_not_translated,5
websites.aspose.org,aspose,bg,title_mismatch,5
websites.aspose.org,aspose,ca,title_mismatch,5
websites.aspose.org,aspose,de,title_mismatch,5
websites.aspose.org,aspose,fr,title_mismatch,5
websites.aspose.org,aspose,hi,title_mismatch,5
websites.aspose.org,aspose,ru,title_mismatch,5
websites.aspose.org,aspose,sr,title_mismatch,5
websites.aspose.org,aspose,th,title_mismatch,5
websites.aspose.org,aspose,uk,title_mismatch,5
docs.aspose.org,barcode,uk,link_path_corrupted,4
docs.aspose.org,email,de,link_path_corrupted,4
docs.aspose.org,pdf,lt,link_path_corrupted,4
docs.aspose.org,slides,sv,link_path_corrupted,4
docs.aspose.org,slides,tr,link_path_corrupted,4
docs.aspose.org,slides,vi,link_path_corrupted,4
docs.aspose.org,words,bg,table_desc_not_translated,4
docs.aspose.org,words,el,link_path_corrupted,4
docs.aspose.org,words,fi,link_path_corrupted,4
docs.aspose.org,words,hu,link_path_corrupted,4
docs.aspose.org,words,id,link_path_corrupted,4
docs.aspose.org,words,ru,link_path_corrupted,4
docs.aspose.org,words,tr,link_path_corrupted,4
docs.aspose.org,words,uk,link_path_corrupted,4
docs.aspose.org,words,vi,link_path_corrupted,4
kb.aspose.org,3d,fa,link_path_corrupted,4
